in01,in02,in03,in04,in05,in06,in07,in08,in09,in10,in11,in12,in13,in14,in15,in16,in17,in18,in19,in20,in21,in22,outcome
1.35,5,779.2968445296865,89.70182755131981,136.861,-59.7808,4.75,3.89,8.09035,103.066,-60.2279,284.3,2,45.3751,136.852,2.37,3,284.338,44.9233,2.37,35.1453,32.7754,0.9439294635617591
1.3,5,313.8710177545436,141.42008351985024,316.865,-59.7771,5.08,4.15,8.36471,106.494,-60.2353,304,2,45.3821,136.852,2.53,3,303.983,44.914,2.53,36.3412,33.8112,0.9129311025555592
1.18,5,650.3987277380656,85.92002318693618,316.88,-59.7676,6.2,5.07,9.24122,117.412,-60.259,371.2,2,45.4038,136.852,3.09,3,371.195,44.8833,3.09,40.1673,37.0773,0.813967462795226
0.74,3,193.4000650695525,120.08588141121847,316.886,-60.3266,6.73,5.5,9.62451,80.3216,-60.2694,402.7,1,45.4131,136.852,3.36,2,402.698,45.3749,3.36,41.8408,38.4808,0.6936699401603557
0.68,3,215.6881299794186,127.30804796185811,316.899,-60.3588,7.92,6.48,10.4449,86.9006,-60.2916,474.5,1,45.4327,136.852,3.95,2,474.466,45.3878,3.95,45.4254,41.4753,0.5329272121119909
0.67,3,150.50783423380926,118.57003532791455,316.903,-60.3677,8.26,6.76,10.6636,88.6421,-60.2976,494.6,1,45.4378,136.852,4.12,2,494.589,45.391,4.12,46.381100000000004,42.2611,0.6722493889885041
0.63,3,173.10986873856746,98.92309265027409,316.911,-60.39,9.13,7.47,11.2097,92.9788,-60.3124,546.7,1,45.4503,136.852,4.56,2,546.695,45.3985,4.56,48.7697,44.2094,0.6006170782768803
0.59,3,602.7457736383658,128.98832665975863,316.924,-60.4217,10.42,8.53,11.9736,99.025,-60.3333,624,1,45.4676,136.852,5.2,2,623.975,45.4086,5.2,52.1126,46.9125,0.4198539735488358
1.37,5,629.8254110259004,176.15329818571274,316.861,-59.7825,4.62,3.78,7.98078,101.69,-60.2249,276.7,2,45.3757,136.854,2.31,3,276.668,44.9303,2.31,34.6668,32.3568,0.9613690509436252
1.36,5,247.12279004929587,149.95514789648826,136.862,-59.7816,4.68,3.83,8.03545,102.378,-60.2264,280.5,2,45.3771,136.854,2.34,3,280.486,44.9285,2.34,34.9061,32.5661,0.9172202202915524
1.3,5,447.8259952524677,119.54129380219156,136.867,-59.777,5.08,4.15,8.3647,106.494,-60.2353,304,2,45.3855,136.854,2.53,3,303.984,44.9174,2.53,36.3413,33.8114,0.9153289254479308
1.28,5,330.7773352039512,107.66185582203514,136.87,-59.775,5.28,4.32,8.52905,108.546,-60.2397,316.1,2,45.3896,136.854,2.63,3,316.076,44.9118,2.63,37.0588,34.4288,0.811683271670445
1.26,5,559.4102418576367,123.81859822292496,136.872,-59.7738,5.42,4.43,8.63872,109.911,-60.2427,324.3,2,45.3923,136.854,2.7,3,324.272,44.9079,2.7,37.537,34.837,0.8807752382896687
1.19,5,134.1019385571126,113.18719255329894,316.88,-59.7688,6.05,4.95,9.13173,116.048,-60.256,362.4,2,45.4045,136.854,3.02,3,362.432,44.8906,3.02,39.6892,36.6692,0.822299175110406
0.72,3,313.6749318980146,130.8879195956352,316.891,-60.3351,7.04,5.76,9.8434,82.0833,-60.2753,421.3,1,45.4218,136.854,3.51,2,421.266,45.3819,3.51,42.7968,39.2867,0.6737420096644782
0.7,3,674.6469599469565,181.6696192245391,316.897,-60.3502,7.59,6.21,10.2262,85.1494,-60.2857,454.8,1,45.4309,136.854,3.79,2,454.757,45.3878,3.79,44.4697,40.6797,0.6816615660768729
0.59,3,502.43824403895997,148.7487882376301,316.926,-60.4217,10.42,8.53,11.9736,99.025,-60.3333,624,1,45.4711,136.854,5.2,2,623.978,45.412,5.2,52.1126,46.9125,0.44896296567357646
0.57,3,623.9679570088629,99.1725659883148,316.933,-60.4402,11.2,9.16,12.4097,102.454,-60.3452,670.4,1,45.4807,136.854,5.59,2,670.401,45.4172,5.59,54.0222,48.4321,0.31266840131658774
1.42,5,624.5902514012996,86.18213459171793,136.856,-59.7862,4.31,3.52,7.7063,98.2614,-60.2174,257.9,2,45.3687,136.854,2.15,3,257.934,44.9396,2.15,33.4705,31.3205,0.9901602593115459
1.4,5,827.863381578587,122.5610829914378,316.858,-59.7844,4.43,3.63,7.81616,99.6368,-60.2204,265.4,2,45.3715,136.854,2.21,3,265.351,44.936,2.21,33.949,31.7389,0.9815088372773829
1.33,5,945.5566516141407,111.70727728970203,316.865,-59.779,4.88,3.99,8.20013,104.441,-60.2307,292.1,2,45.3813,136.854,2.43,3,292.119,44.9231,2.43,35.6237,33.1937,0.9341590575111564
1.22,5,186.74871342233382,148.6395399034305,316.876,-59.771,5.77,4.72,8.91273,113.318,-60.25,345.2,2,45.3991,136.854,2.88,3,345.215,44.8982,2.88,38.7328,35.8528,0.8458132471529467
1.21,5,627.3200350785628,170.94308662774563,136.878,-59.7699,5.91,4.83,9.02234,114.683,-60.253,353.8,2,45.4018,136.854,2.95,3,353.776,44.8944,2.95,39.2111,36.261,0.8330325622422823
1.19,5,810.0321857586969,111.73283622626197,316.88,-59.7687,6.05,4.95,9.13173,116.048,-60.2559,362.4,2,45.4045,136.854,3.02,3,362.432,44.8906,3.02,39.6892,36.6692,0.8222953231860808
0.7,3,539.8061251968611,119.48394496817397,316.897,-60.3501,7.59,6.21,10.2262,85.1494,-60.2856,454.8,1,45.4309,136.854,3.79,2,454.757,45.3878,3.79,44.4697,40.6797,0.6813977092606041
0.69,3,353.84297700808384,172.30071875987494,316.898,-60.3523,7.68,6.28,10.2809,85.5871,-60.2871,459.6,1,45.4322,136.854,3.83,2,459.647,45.3887,3.83,44.7086,40.8785,0.6799378299413931
0.65,3,184.58678633649834,183.28714549076142,316.909,-60.3788,8.69,7.11,10.9367,90.8109,-60.3049,520.3,1,45.4475,136.854,4.34,2,520.32,45.3982,4.34,47.5755,43.2354,0.6521404180493471
0.64,3,311.20384704577737,86.86931367710258,316.911,-60.3854,8.95,7.33,11.1004,92.1139,-60.3094,536.1,1,45.4513,136.854,4.47,2,536.063,45.4005,4.47,48.2921,43.822,0.6309317227153756
