in01	in02	in03	in04	in05	in06	in07	in08	in09	in10	in11	in12	in13	in14	in15	in16	in17	Class
white	0.0046	0.09	0.08	0.02	10.3	0.17	0.47	very low	0.037	5	33	0.9939	2.89	0.28	low	24.1	no
white	0.0079	0.1	0.06	0.02	8.5	0.18	0.3	very low	0.028	34	95	0.99272	2.83	0.36	med	26.44	no
white	0.0035	0.03	0.03	0.01	4.7	0.785	0	low	0.036	23	134	0.98981	3.53	0.92	high	28.87	no
white	0.0099	0.02	0.08	0.04	6.3	0.39	0.35	med	0.04	82	260	0.9941	3.12	0.66	med	27.69	no
white	0.0078	0.05	0.01	0.04	7.1	0.32	0.4	very low	0.034	13	84	0.9944	3.42	0.6	med	19.61	no
white	0.0083	0.03	0.08	0.01	7.5	0.29	0.67	very sweet	0.037	53	166	0.9966	2.9	0.41	low	22.08	no
white	0.0063	0.03	0.05	0.03	6.8	0.22	0.3	very sweet	0.07	67	194	0.99654	2.89	0.42	low	21.16	no
white	0.0012	0.04	0.06	0.03	8.2	0.42	0.29	med	0.03	31	100	0.9911	3	0.32	standard	13.31	yes
red	0.037	0.54	0.47	0.38	9.2	0.36	0.34	very low	0.062	5	12	0.99667	3.2	0.67	med	27.84	no
white	0.0073	0.06	0.06	0.06	5.6	0.2	0.22	very low	0.049	25	155	0.99296	3.74	0.43	med	22.65	no
white	0.0015	0.03	0.07	0.02	7.4	0.25	0.49	very low	0.042	35	156	0.9917	3.13	0.55	med	12.27	no
white	4e-4	0.08	0.08	0.05	7.6	0.24	0.44	low	0.037	49	146	0.9911	3.06	0.37	standard	18.93	no
white	0.0074	0.04	0.05	0.04	6.3	0.36	0.2	low	0.048	48	191	0.9929	3.17	0.51	low	25.25	no
red	0.063	0.11	0.15	0.32	6.9	0.55	0.15	low	0.076	19	40	0.9961	3.41	0.59	med	15.92	no
white	0.0079	0.07	0.06	0.05	7	0.22	0.26	very low	0.037	20	71	0.9902	3.1	0.38	standard	12.22	no
white	0.0025	0.03	0.02	0.03	6.2	0.55	0.45	very sweet	0.049	27	186	0.9974	3.17	0.5	low	23.67	no
white	0.005	0.1	0.04	0.03	6.3	0.22	0.34	med	0.032	36	93	0.99012	3.27	0.36	high	26.72	yes
white	0.0039	0.01	0.03	0.01	5.9	0.26	0.25	very sweet	0.034	38	152	0.9977	3.33	0.43	low	29.11	no
white	0.0056	0.06	0.02	0.04	7.5	0.19	0.49	very low	0.047	42	140	0.9932	3.4	0.47	med	28.92	no
white	0.0036	0.01	0.03	0.02	5.7	0.245	0.33	very low	0.049	28	150	0.9927	3.13	0.42	low	17.61	no
white	0.0011	0.07	0.08	0.06	7.2	0.27	0.27	low	0.048	30	149	0.9936	3.1	0.51	low	14	no
white	0.0056	0.08	0.03	0.05	6.9	0.32	0.27	very sweet	0.034	58	185	0.99938	3.34	0.6	low	27.41	no
white	0.0092	0.04	0.03	0.02	6.7	0.13	0.32	low	0.017	32	99	0.99348	3.12	0.44	med	15.14	no
red	0.069	0.15	0.6	0.4	7.6	0.46	0.11	low	0.079	12	49	0.9968	3.21	0.57	med	34.48	no
white	0.0051	0.01	0.03	0.04	6.4	0.15	0.4	very low	0.042	23	87	0.98972	3.11	0.46	standard	14.15	yes
white	7e-4	0.04	0.06	0.06	5.9	0.14	0.2	very low	0.04	26	114	0.99105	3.25	0.45	med	16.44	no
red	0.049	0.27	0.14	0.34	8.3	0.76	0.29	med	0.075	12	16	0.9965	3.45	0.68	standard	40.68	no
white	0.0063	0.03	0.06	0.06	6.8	0.21	0.4	sweet	0.032	40	121	0.99214	3.18	0.53	standard	24.48	yes
red	0.061	0.73	0.26	0.35	10	0.48	0.24	low	0.102	13	32	1	3.28	0.56	med	43.49	no
white	0.0091	0.07	0.04	0.02	6.3	0.28	0.47	very sweet	0.04	61	183	0.99592	3.12	0.51	low	23.16	no
white	0.0094	0.09	0.02	0.04	7.2	0.23	0.25	very sweet	0.085	19	111	1.00044	3.1	0.51	low	26.57	no
white	0.0016	0.1	0.01	0.01	6.7	0.19	0.36	very low	0.026	63	143	0.9912	3.27	0.48	med	14.92	no
white	0.004	0.1	0.03	0.04	6.3	0.41	0.3	low	0.03	49	164	0.9927	3.53	0.79	standard	14.27	yes
white	0.002	0.02	0.06	0.06	7.6	0.2	0.26	med	0.033	26	76	0.99076	2.98	0.49	standard	25.7	yes
red	0.042	0.16	0.43	0.37	7.5	0.57	0.02	low	0.077	11	35	0.99557	3.36	0.62	med	21.21	no
white	0.0021	0.08	0.03	0.03	7.6	0.3	0.27	very sweet	0.039	31	119	0.99815	3.27	0.3	low	20.57	no
white	0.0041	0.03	0.03	0.05	5.9	0.34	0.31	low	0.03	38	142	0.98892	3.4	0.41	standard	24.86	yes
white	0.0014	0.05	0.02	0.03	7.2	0.4	0.62	very sweet	0.041	70	189	0.9976	3.08	0.49	low	14.61	no
red	0.044	0.62	0.53	0.36	6.7	0.48	0.08	low	0.064	18	34	0.99552	3.33	0.64	low	42.69	no
white	0.0084	0.06	0.04	0.02	8.3	0.14	0.34	very low	0.042	7	47	0.9934	3.47	0.4	med	27.26	no
